Est.:;Cidade:
PA ;BELÉM
PR ;LONDRINA
SP ;0
SP ;0
MG ;BELO HORIZONTE
RS ;SÃO LEOPOLDO
MG ;JUIZ DE FORA
SP ;0
SP ;0
MA ;RAPOSA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;0
SP ;0
SP ;CAMPINAS
SP ;CAMPINAS
SP ;0
SP ;RIBEIRÃO PRETO
SP ;0
SP ;SÃO PAULO
SP ;0
SP ;0
RS ;SANTIAGO
BA ;VITÓRIA DA CONQUISTA
SP ;0
SP ;0
SP ;0
SP ;0
SP ;CAMPINAS
MG ;UBÁ
SP ;MOGI GUAÇU
SP ;CAMPINAS
SP ;PORTO FELIZ
SP ;SANTANA DE PARNAÍBA
SP ;0
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;0
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;0
SP ;BARUERI
AM ;MANAUS
SP ;0
SP ;0
SP ;0
SP ;0
SP ;SÃO CAETANO DO SUL
SP ;0
SP ;CAMPINAS
SP ;CAMPINAS
SP ;0
AM ;MANAUS
SP ;ITAPIRA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
MT ;CUIABÁ
SP ;CAMPINAS
SP ;0
SP ;0
SP ;0
SP ;CAMPINAS
SP ;0
SP ;0
SP ;SÃO PAULO
SC ;IÇARA
SP ;0
SC ;VIDEIRA
SP ;0
SP ;0
MT ;CUIABÁ
SP ;0
SP ;CAMPINAS
SP ;INDAIATUBA
SP ;AMERICANA
SP ;0
SP ;MOGI GUAÇU
SP ;0
SP ;0
SP ;SÃO CARLOS
SP ;0
SP ;CAMPINAS
SP ;CAMPINAS
SP ;0
MG ;POÇOS DE CALDAS
SP ;0
SP ;0
SP ;0
SP ;0
SP ;SOROCABA
RS ;CERRO LARGO
RJ ;MACAÉ
SP ;ADAMANTINA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;INDAIATUBA
MG ;POUSO ALEGRE
MG ;VIÇOSA
SP ;CAMPINAS
SC ;Ascurra
SP ;RIBEIRÃO PIRES
SP ;SÃO PAULO
SP ;São Paulo
SP ;SÃO PAULO
RJ ;RIO DE JANEIRO
SP ;ASSIS
SP ;SANTOS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SUZANO
MG ;Varginha
SP ;APARECIDA
SP ;BAURU
SP ;SÃO PAULO
MG ;Curvelo
MS ;DOURADOS
SP ;SÃO PAULO
SP ;SÃO JOÃO DA BOA VISTA
MT ;Guarantã do Norte
BA ;PORTO SEGURO
SP ;SÃO PAULO
SP ;Morro Agudo
MG ;PARACATU
SP ;CAMPINAS
SP ;MOGI-MIRIM
SP ;SANTA BÁRBARA D'OESTE
DF ;Taguatinga
SP ;MOGI-MIRIM
PR ;LONDRINA
BA ;EUNÁPOLIS
SP ;MARÍLIA
SP ;CAMPINAS
SP ;Paulínia
SP ;HORTOLÂNDIA
SP ;FRANCA
SP ;SÃO PAULO
SP ;ITUPEVA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;ITATIBA
SC ;JOINVILLE
SP ;INDAIATUBA
SP ;BRAGANÇA PAULISTA
SP ;SANTA BÁRBARA D'OESTE
SP ;CAMPINAS
SP ;CAMPINAS
SP ;VINHEDO
AL ;MACEIÓ
ES ;CARIACICA
SP ;SANTA CRUZ DO RIO PARDO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;CAMPINAS
MG ;ARAXÁ
MG ;UBÁ
SP ;CAMPINAS
MG ;Caldas
MG ;Cabo Verde
PR ;CURITIBA
SP ;SÃO PAULO
PR ;CIANORTE
MS ;CAMPO GRANDE
SP ;CAMPINAS
DF ;BRASÍLIA
MG ;MONTE BELO
SP ;CAMPINAS
SP ;FRANCA
MG ;CARMO DA CACHOEIRA
SP ;CAMPINAS
RJ ;CAMPOS DOS GOYTACAZES
SP ;CAMPINAS
SP ;0
SP ;CAMPINAS
SP ;0
SP ;CATANDUVA
MG ;FRUTAL
SP ;SÃO PAULO
MG ;SANTA JULIANA
PR ;FRANCISCO BELTRÃO
SP ;SÃO PAULO
SP ;SÃO PAULO
ES ;VITÓRIA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SANTO ANDRÉ
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;VALINHOS
SP ;0
SP ;0
SP ;0
SP ;SÃO PAULO
SP ;SÃO PAULO
CE ;SOBRAL
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;MONTE SANTO DE MINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
RJ ;CAMPOS DOS GOYTACAZES
SC ;PIRATUBA
MG ;BELO HORIZONTE
ES ;CACHOEIRO DE ITAPEMIRIM
MT ;CUIABÁ
RS ;GUAPORÉ
SC ;TUBARÃO
SC ;FLORIANÓPOLIS
MG ;MURIAÉ
MT ;BARRA DO BUGRES
MG ;SETE LAGOAS
RS ;OSÓRIO
RS ;CAMPO BOM
SP ;SÃO PAULO
MG ;DIVINÓPOLIS
PR ;CIDADE GAÚCHA
SC ;CAMPO ALEGRE
GO ;GOIÂNIA
SP ;SÃO PAULO
RJ ;NOVA IGUAÇU
MG ;GOVERNADOR VALADARES
MG ;NOVA SERRANA
RS ;HORIZONTINA
DF ;BRASÍLIA
SP ;CAMPINAS
SP ;UNAÍ
SP ;JACAREÍ
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
DF ;BRASÍLIA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
MS ;CASSILÂNDIA
MS ;TRÊS LAGOAS
SP ;NOVO HORIZONTE
SC ;IBIRAMA
RS ;XANGRI-LÁ
ES ;SÃO MATEUS
PA ;BELÉM
MG ;PONTE NOVA
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;MURIAÉ
RJ ;RIO DE JANEIRO
DF ;BRASÍLIA
SP ;SÃO PAULO
RJ ;CAMPOS DOS GOYTACAZES
PR ;MEDIANEIRA
MG ;CARANGOLA
PR ;GUARAPUAVA
DF ;BRASÍLIA
GO ;JATAÍ
SE ;MONTE ALEGRE DE SERGIPE
MG ;UBÁ
MG ;ARAGUARI
RJ ;NILÓPOLIS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CATANDUVA
SP ;RIBEIRÃO PRETO
RJ ;NITERÓI
SP ;SÃO JOSÉ DO RIO PRETO
SP ;ITUVERAVA
SP ;MONTE ALTO
RN ;CURRAIS NOVOS
SP ;SOROCABA
SP ;IPUÃ
MT ;CÁCERES
MG ;BELO HORIZONTE
RJ ;NOVA FRIBURGO
GO ;CAÇU
RJ ;SANTO ANTÔNIO DE PÁDUA
GO ;JATAÍ
SP ;SÃO PAULO
SP ;SÃO PAULO
GO ;GOIÂNIA
SP ;SÃO PAULO
MG ;JOÃO PINHEIRO
PR ;FOZ DO IGUAÇU
MG ;DIVINÓPOLIS
PR ;CORNÉLIO PROCÓPIO
ES ;COLATINA
SE ;ARACAJU
RS ;SANTA MARIA
CE ;JUAZEIRO DO NORTE
GO ;GOIÂNIA
SP ;RIBEIRÃO PRETO
MS ;RIO BRILHANTE
PA ;SANTARÉM
SC ;AGRONÔMICA
RJ ;ARMAÇÃO DOS BÚZIOS
SC ;SÃO LUDGERO
GO ;GOIÂNIA
SP ;VOTUPORANGA
SC ;LAURO MÜLLER
SP ;BAURU
MG ;POUSO ALEGRE
ES ;PINHEIROS
SP ;SÃO PAULO
MG ;ANDRADAS
SP ;VARGEM GRANDE DO SUL
SP ;VALINHOS
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;Salto de Pirapora
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
MT ;TANGARÁ DA SERRA
MG ;IBIRITÉ
RO ;GUAJARÁ MIRIM
PR ;FOZ DO IGUAÇU
GO ;GOIANÉSIA
SP ;SÃO PAULO
SP ;ARAÇATUBA
ES ;VILA VALÉRIO
AL ;MACEIÓ
MG ;TRÊS MARIAS
MG ;BOA ESPERANÇA
RJ ;NITERÓI
GO ;GOIÂNIA
RJ ;MACAÉ
BA ;LIVRAMENTO DE NOSSA SENHORA
BA ;ITABUNA
MG ;CABO VERDE
DF ;BRASÍLIA
RS ;SAPUCAIA DO SUL
MG ;JOÃO MONLEVADE
RN ;SÃO MIGUEL
SP ;CAMPINAS
SP ;SÃO PAULO
MT ;RONDONÓPOLIS
SC ;APIÚNA
SP ;SANTO ANDRÉ
RO ;PIMENTA BUENO
CE ;FORTALEZA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SUMARÉ
RJ ;BARRA MANSA
RS ;LAJEADO
SP ;SÃO PAULO
SP ;SÃO PAULO
SC ;BRUSQUE
SP ;SÃO PAULO
PR ;ROLÂNDIA
SC ;FLORIANÓPOLIS
MT ;ARAPUTANGA
PR ;GUARAPUAVA
MT ;BARRA DO GARÇAS
SC ;BLUMENAU
MG ;JUIZ DE FORA
RS ;PORTO ALEGRE
RS ;ERECHIM
SP ;TUPÃ
SP ;SÃO PAULO
ES ;VILA VELHA
ES ;GUARAPARI
BA ;ILHÉUS
BA ;FEIRA DE SANTANA
BA ;SALVADOR
BA ;SALVADOR
BA ;FEIRA DE SANTANA
MG ;BELO HORIZONTE
DF ;BRASÍLIA
SP ;SÃO PAULO
RJ ;CAMPOS DOS GOYTACAZES
ES ;VITÓRIA
MG ;CURVELO
SP ;INDAIATUBA
MG ;CARATINGA
MG ;TURMALINA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;MONTE MOR
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
MG ;ABAETÉ
SC ;MASSARANDUBA
SP ;SÃO PAULO
SP ;ARAÇATUBA
SP ;SÃO PAULO
RJ ;RIO DE JANEIRO
SP ;SÃO PAULO
SP ;SÃO PAULO
ES ;VILA VELHA
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
CE ;FORTALEZA
BA ;JUAZEIRO
PA ;PARAGOMINAS
MG ;CURVELO
RS ;VIADUTOS
RJ ;NITERÓI
RJ ;COMENDADOR LEVY GASPARIAN
SP ;SÃO PAULO
PA ;TUCURUÍ
MG ;IPATINGA
BA ;EUCLIDES DA CUNHA
SP ;SÃO PAULO
SP ;SÃO PAULO
RO ;JI-PARANÁ
MG ;TEÓFILO OTONI
MS ;CAMPO GRANDE
RS ;PANAMBI
PE ;GARANHUNS
BA ;SENHOR DO BONFIM
SP ;SÃO PAULO
SP ;SANTOS
MG ;UBERLÂNDIA
MG ;ITAÚNA
PE ;RECIFE
SP ;CAMPINAS
SP ;SÃO PAULO
MG ;PASSOS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;BAURU
SP ;CAMPINAS
SP ;LOUVEIRA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;JUNDIAÍ
PR ;LONDRINA
SP ;SÃO PAULO
RS ;ALEGRETE
PR ;MANDAGUARI
PA ;CONCEIÇÃO DO ARAGUAIA
RS ;SANTA ROSA
MG ;VESPASIANO
BA ;SANTO ANTÔNIO DE JESUS
RJ ;SÃO FIDÉLIS
RS ;GIRUÁ
SP ;SANTOS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;MOGI GUAÇU
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SALES OLIVEIRA
RO ;JI-PARANÁ
SC ;SÃO JOSÉ DO CEDRO
DF ;BRASÍLIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;MOGI DAS CRUZES
PR ;CURITIBA
SP ;SÃO PAULO
RJ ;SANTO ANTÔNIO DE PÁDUA
RO ;JI-PARANÁ
SP ;GUARULHOS
CE ;SOBRAL
PR ;PONTA GROSSA
GO ;GOIÂNIA
DF ;BRASÍLIA
MG ;UBERABA
GO ;LUZIÂNIA
SE ;ARACAJU
MT ;GUARANTÃ DO NORTE
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;DOM SILVÉRIO
RS ;PORTO ALEGRE
PB ;CAMPINA GRANDE
SC ;FLORIANÓPOLIS
MG ;AREADO
MG ;IPATINGA
SP ;FERNANDÓPOLIS
MG ;UBERLÂNDIA
SP ;SÃO PAULO
SP ;ATIBAIA
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
GO ;RIO QUENTE
ES ;LINHARES
BA ;VALENÇA
SP ;CAMPINAS
SP ;PAULÍNIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;BOTUCATU
SP ;SUMARÉ
SP ;SÃO PAULO
MG ;CAPELINHA
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;MACHADO
SP ;SOROCABA
SP ;SÃO PAULO
PR ;SÃO MATEUS DO SUL
SP ;CAMPINAS
SP ;ITU
SP ;CAMPINAS
SP ;HORTOLÂNDIA
PR ;LONDRINA
SP ;CAMPINAS
ES ;SÃO GABRIEL DA PALHA
RS ;SAPUCAIA DO SUL
ES ;CARIACICA
SP ;MAIRIPORÃ
SP ;ARUJÁ
MG ;POÇOS DE CALDAS
SP ;SÃO PAULO
SP ;ARTUR NOGUEIRA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;LOUVEIRA
SP ;SÃO PAULO
SP ;HORTOLÂNDIA
SP ;CAMPINAS
BA ;LUÍS EDUARDO MAGALHÃES
SP ;campinas
SP ;SÃO PAULO
MA ;SÃO LUÍS
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;MARÍLIA
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;PIRAPOZINHO
DF ;BRASÍLIA
SP ;SANTA RITA DO PASSA QUATRO
SP ;SÃO PAULO
BA ;PRADO
BA ;EUNÁPOLIS
MG ;POÇOS DE CALDAS
SP ;SÃO PAULO
SP ;ITAPORANGA
SP ;SÃO PAULO
RJ ;SAQUAREMA
SP ;CAMPINAS
SP ;CAMPINAS
MG ;POÇOS DE CALDAS
MG ;PASSOS
MG ;TIMÓTEO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;MOGI DAS CRUZES
SP ;SÃO PAULO
MS ;CORUMBÁ
MG ;GUAXUPÉ
SP ;PERUÍBE
BA ;ITABUNA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;HORTOLÂNDIA
SP ;SÃO PAULO
SP ;SÃO PAULO
ES ;SÃO GABRIEL DA PALHA
SP ;SÃO PAULO
SP ;SANTO ANDRÉ
RO ;ESPIGÃO D'OESTE
TO ;PALMAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
PB ;CABEDELO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;CAMPINAS
ES ;COLATINA
SC ;MASSARANDUBA
RS ;SANTA MARIA
MG ;BELO HORIZONTE
MG ;BOM DESPACHO
MG ;ITABIRA
SP ;JABOTICABAL
MG ;INCONFIDENTES
MG ;VIÇOSA
PR ;CASCAVEL
SP ;ARTUR NOGUEIRA
MG ;ITURAMA
MG ;BELO HORIZONTE
SP ;AMPARO
PR ;BANDEIRANTES
PA ;MARABÁ
SP ;HOLAMBRA
SP ;SÃO PAULO
MG ;CURVELO
SP ;PEDREIRA
SP ;ORLÂNDIA
SP ;RIBEIRÃO PRETO
SP ;RIBEIRÃO PRETO
SP ;ALTINÓPOLIS
PR ;TOLEDO
PE ;SANTA CRUZ DO CAPIBARIBE
ES ;SERRA
SP ;SÃO PAULO
TO ;PARAÍSO DO TOCANTINS
PR ;CURITIBA
MG ;JOÃO PINHEIRO
MA ;SÃO LUÍS
AL ;MACEIÓ
SP ;SUMARÉ
MS ;PONTA PORÃ
SP ;SÃO PAULO
SP ;FRANCA
TO ;PALMAS
SP ;ESPÍRITO SANTO DO PINHAL
CE ;FORTALEZA
SC ;GASPAR
SP ;CAMPINAS
ES ;VILA VELHA
PR ;CURITIBA
SP ;APIAÍ
RS ;PORTO ALEGRE
RJ ;NITERÓI
RS ;CAXIAS DO SUL
ES ;VILA VELHA
SP ;PORTO FERREIRA
MG ;POUSO ALEGRE
GO ;LUZIÂNIA
SP ;CAMPINAS
RJ ;RIO DE JANEIRO
RJ ;RIO DE JANEIRO
PE ;GRAVATÁ
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;AMERICANA
PE ;ARCOVERDE
PE ;LIMOEIRO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
RJ ;CAMPOS DOS GOYTACAZES
SP ;IBIÚNA
SP ;ASSIS
RJ ;RIO DE JANEIRO
MG ;MONTE SIÃO
RJ ;MACUCO
SP ;SÃO PAULO
SP ;CAMPINAS
TO ;COLINAS DO TOCANTINS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;SETE LAGOAS
AP ;MACAPÁ
MG ;VARGINHA
MG ;LAVRAS
SP ;CAMPINAS
SP ;COSMÓPOLIS
SP ;SÃO PAULO
SP ;SÃO PAULO
MG ;LAVRAS
DF ;BRASÍLIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SANTO ANDRÉ
DF ;BRASÍLIA
SP ;SÃO PAULO
SP ;SÃO PAULO
RN ;NATAL
RJ ;RIO DE JANEIRO
RJ ;ITATIAIA
SP ;SOROCABA
SP ;CATANDUVA
SP ;ITATIBA
SP ;SÃO PAULO
ES ;VITÓRIA
PB ;POMBAL
SP ;SÃO JOSÉ DO RIO PRETO
ES ;SANTA MARIA DE JETIBÁ
ES ;VILA VELHA
BA ;SALVADOR
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;AMERICANA
AL ;MACEIÓ
PA ;PARAGOMINAS
SP ;SÃO PAULO
GO ;CRISTALINA
MG ;DIVINÓPOLIS
RJ ;RIO DAS OSTRAS
SC ;SÃO BONIFÁCIO
PE ;RECIFE
RS ;HORIZONTINA
SP ;FRANCA
SP ;OLÍMPIA
SP ;SÃO PAULO
BA ;BARREIRAS
PB ;CABEDELO
SP ;SÃO BERNARDO DO CAMPO
ES ;SÃO ROQUE DO CANNAÃ
PR ;JANDAIA DO SUL
SE ;ESTÂNCIA
PR ;CURITIBA
SP ;SÃO PAULO
SP ;RIBEIRÃO PRETO
SP ;SÃO PAULO
SP ;TAUBATÉ
SP ;BEBEDOURO
SP ;CAMPINAS
SP ;SERTÃOZINHO
MG ;PASSOS
MG ;LAVRAS
SP ;MONTE ALTO
SP ;CAMPINAS
MG ;JOÃO MONLEVADE
SP ;RIBEIRÃO PRETO
MG ;MACHADO
MG ;IPATINGA
SP ;TAUBATÉ
SP ;CAMPINAS
SP ;CAMPINAS
SP ;OSASCO
SP ;ATIBAIA
SP ;ITATIBA
SP ;CAMPINAS
MG ;UNAÍ
SP ;RIBEIRÃO PRETO
RJ ;RIO DE JANEIRO
SP ;TAUBATÉ
SP ;GUARATINGUETÁ
MG ;SÃO DOMINGOS DO PRATA
SP ;SANTA BÁRBARA D'OESTE
AL ;MACEIÓ
ES ;MARILÂNDIA
BA ;BARREIRAS
SP ;PALMEIRA DO OESTE
PA ;SANTARÉM
SP ;AVARÉ
RJ ;RIO DE JANEIRO
SC ;BALNEÁRIO CAMBORIÚ
MG ;IPANEMA
RS ;LAJEADO
SP ;RIBEIRÃO PIRES
MG ;IPATINGA
RJ ;NITERÓI
SC ;ITUPORANGA
MG ;DIAMANTINA
MG ;CONCEIÇÃO DAS ALAGOAS
GO ;POSSE
SC ;CRICIÚMA
SC ;BALNEÁRIO CAMBORIÚ
GO ;APARECIDA DE GOIÂNIA
SP ;SÃO PAULO
PR ;IVAIPORÃ
ES ;VILA VELHA
PR ;MARINGÁ
RJ ;PETRÓPOLIS
MG ;PATOS DE MINAS
RJ ;RIO DE JANEIRO
SP ;CAMPINAS
PR ;CORNÉLIO PROCÓPIO
RS ;SANTA MARIA
RS ;OSÓRIO
SP ;SÃO PAULO
RS ;PORTO ALEGRE
MG ;MONTES CLAROS
RS ;SANTIAGO
SP ;BRAGANÇA PAULISTA
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;CAMPINAS
MT ;TERRA NOVA DO NORTE
SC ;FLORIANÓPOLIS
MG ;SÃO LOURENÇO
RJ ;RIO DAS OSTRAS
SP ;COTIA
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
PR ;CURITIBA
SC ;ITAJAÍ
RJ ;RIO DE JANEIRO
MG ;NOVA SERRANA
RS ;CAPÃO DA CANOA
MT ;TANGARÁ DA SERRA
SP ;SÃO PAULO
ES ;MARECHAL FLORIANO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;ITAPIRA
RS ;PASSO FUNDO
MG ;BELO HORIZONTE
SP ;SÃO PAULO
RJ ;DUQUE DE CAXIAS
SP ;BATATAIS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
RJ ;RIO DE JANEIRO
SP ;PROMISSÃO
DF ;BRASÍLIA
SP ;CAMPINAS
RJ ;RIO DE JANEIRO
SP ;SÃO PAULO
GO ;ANÁPOLIS
GO ;RIO VERDE
BA ;SENHOR DO BONFIM
AL ;MACEIÓ
DF ;BRASÍLIA
PR ;CURITIBA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
RS ;PELOTAS
SP ;SÃO PAULO
SC ;GUARAMIRIM
SP ;SÃO PAULO
GO ;GOIÂNIA
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SÃO CAETANO DO SUL
SP ;SÃO PAULO
DF ;BRASÍLIA
PB ;CAMPINA GRANDE
PB ;PATOS
SP ;PANORAMA
SP ;VALINHOS
MG ;DIVINÓPOLIS
SC ;PONTE SERRADA
PE ;ARCOVERDE
SP ;AMERICANA
MS ;PONTA PORÃ
SP ;TABOÃO DA SERRA
RJ ;VOLTA REDONDA
SP ;SÃO PAULO
SP ;SÃO PAULO
BA ;SALVADOR
MG ;ITUIUTABA
MG ;BELO HORIZONTE
DF ;BRASÍLIA
PR ;CURITIBA
SP ;PORTO FERREIRA
RJ ;MACAÉ
MG ;BOTELHOS
SP ;CAMPINAS
MG ;BELO HORIZONTE
MG ;CURVELO
RO ;JI-PARANÁ
MS ;BELA VISTA
ES ;CACHOEIRO DE ITAPEMIRIM
SP ;CAMPINAS
MT ;SINOP
CE ;CRATO
RS ;PORTO ALEGRE
BA ;FEIRA DE SANTANA
SP ;SÃO PAULO
SP ;CAMPINAS
AC ;RIO BRANCO
MG ;POÇOS DE CALDAS
MS ;CAMPO GRANDE
SP ;SÃO PAULO
PE ;OLINDA
SP ;PORTO FERREIRA
SC ;INDAIAL
BA ;BARREIRAS
RJ ;RIO DE JANEIRO
SP ;AGUDOS
RJ ;NITERÓI
PR ;MANGUEIRINHA
SP ;OURINHOS
SP ;SÃO PAULO
RS ;NOVO HAMBURGO
GO ;CALDAS NOVAS
SP ;SÃO PAULO
SP ;CAMPINAS
MG ;RESENDE COSTA
MG ;RESENDE COSTA
MG ;BETIM
MA ;BALSAS
DF ;BRASÍLIA
GO ;CATALÃO
MG ;TIRADENTES
MA ;SÃO LUÍS
RJ ;NITERÓI
PR ;SANTO ANTÔNIO DA PLATINA
SP ;SÃO PAULO
BA ;SALVADOR
PR ;FRANCISCO BELTRÃO
SC ;IÇARA
SP ;SÃO PAULO
MG ;POÇOS DE CALDAS
SP ;SÃO PAULO
AM ;MANAUS
RJ ;PETRÓPOLIS
SP ;SÃO PAULO
SP ;SANTANA DE PARNAÍBA
MG ;BELO HORIZONTE
SP ;CAMPINAS
SP ;SÃO PAULO
SP ;SANTA BÁRBARA D'OESTE
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;SÃO JOÃO DA BOA VISTA
SP ;CAMPINAS
MS ;CORUMBÁ
MG ;LAVRAS
PA ;BELÉM
SC ;FLORIANÓPOLIS
SP ;SÃO PAULO
SC ;BRAÇO DO NORTE
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;CAMPINAS
PR ;TOLEDO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SC ;RIO FORTUNA
SP ;ITATIBA
SP ;RIBEIRÃO BONITO
SP ;CAMPINAS
SP ;SÃO PAULO
MG ;BELO HORIZONTE
SP ;SUZANO
PA ;REDENÇÃO
SP ;SÃO PAULO
SP ;SÃO PAULO
BA ;FEIRA DE SANTANA
PA ;SANTARÉM
AM ;MANAUS
SP ;SÃO PAULO
SP ;SUMARÉ
MS ;NAVIRAÍ
SP ;SÃO PAULO
SP ;REGISTRO
SP ;FRANCA
BA ;LIVRAMENTO DE NOSSA SENHORA
SP ;SÃO PAULO
RJ ;BARRA DO PIRAÍ
SP ;GUARULHOS
RJ ;NITERÓI
SP ;SÃO PAULO
SP ;OLÍMPIA
SP ;CAMPINAS
SE ;CAPELA
BA ;SALVADOR
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;SÃO PAULO
PB ;CAJAZEIRAS
RJ ;ARARUAMA
RS ;SALTO DO JACUÍ
RJ ;BARRA MANSA
CE ;VÁRZEA ALEGRE
BA ;ALAGOINHAS
RJ ;RIO DE JANEIRO
MS ;NOVA ANDRADINA
RS ;URUGUAIANA
SP ;CAMPINAS
MG ;SÃO SEBASTIÃO DO PARAÍSO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;TATUÍ
SP ;CAMPINAS
DF ;BRASÍLIA
SP ;GUARULHOS
SP ;SÃO JOÃO DA BOA VISTA
SP ;CAMPINAS
ES ;CACHOEIRO DE ITAPEMIRIM
SP ;CAMPINAS
PR ;ANDIRÁ
PI ;TERESINA
SC ;CHAPECÓ
PE ;BOM JARDIM
SP ;SÃO PAULO
SP ;CAMPINAS
SP ;CERQUILHO
MG ;PARÁ DE MINAS
PB ;BAYEUX
SP ;CAMPINAS
PR ;RIO NEGRO
RS ;PASSO FUNDO
MT ;SINOP
RJ ;MACAÉ
SP ;SÃO JOÃO DA BOA VISTA
RJ ;ITAPERUNA
SP ;CAMPINAS
SP ;VINHEDO
SP ;CAMPINAS
SP ;CAMPINAS
SP ;CAMPINAS
SP ;LEME
SP ;CAMPINAS
SP ;COTIA
RJ ;ANGRA DOS REIS
SP ;COTIA
RS ;ALEGRETE
SP ;SÃO CAETANO DO SUL
PR ;CURITIBA
MA ;BALSAS
MG ;GOVERNADOR VALADARES
MG ;POÇOS DE CALDAS
MG ;POÇOS DE CALDAS
SP ;SERTÃOZINHO
RS ;CAXIAS DO SUL
SP ;SÃO PAULO
SP ;LIMEIRA
SP ;SÃO PAULO
SP ;SÃO PAULO
SC ;XAXIM
RS ;SÃO BORJA
PB ;JOÃO PESSOA
RJ ;ITAPERUNA
